ciclo_academico,edad,numero_discapacidades,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,Status_codificado,Sexo_codificado,tipo_de_est_programa_codificado,tipo_de_ingreso_codificado,estatus_curso_codificado,discapacidad_codificado,region_codificado,tipo_de_pago_codificado,descripcion_beca_codificado,descripcion_descuento_codificado,convenios_contratos_codificado,formas_pago_codificado,tipo_discapacidad_codificado,curso_codificado
5,23.0,0,2.19,3.35,1.43,1.58,2.63,0.0,1,0,0,0,0,0,0,1,0,0,0,21,4,22
5,23.0,0,1.88,2.75,0.6,2.75,3.1,0.5,1,0,0,0,0,0,0,1,0,0,0,21,4,24
5,23.0,0,2.03,3.1,0.0,2.18,3.5,-1.0,1,0,0,0,0,0,0,1,0,0,0,21,4,51
5,23.0,0,2.75,1.13,1.05,3.08,3.31,1.7,1,0,0,0,0,0,0,1,0,0,0,21,4,7
5,23.0,0,1.0,1.6,3.0,2.38,2.0,1.0,1,0,0,0,0,0,0,1,0,0,0,21,4,23
1,28.0,0,2.28,3.15,2.55,2.1,3.2,2.55,0,2,1,6,0,0,0,1,1,0,1,21,4,40
1,28.0,0,3.01,3.5,2.7,2.64,3.5,3.0,0,2,1,6,0,0,0,1,1,0,1,21,4,2
1,28.0,0,2.15,3.5,2.93,2.5,1.8,1.95,0,2,1,6,0,0,0,1,1,0,1,21,4,3
1,28.0,0,2.26,3.5,2.9,2.17,3.5,2.8,0,2,1,6,0,0,0,1,1,0,1,21,4,11
1,28.0,0,2.19,2.7,2.8,2.58,2.9,2.4,0,2,1,6,0,0,0,1,1,0,1,21,4,49
1,28.0,0,1.97,3.02,2.8,2.08,3.38,3.0,0,2,1,6,0,0,0,1,1,0,1,21,4,45
2,28.0,0,2.19,3.25,1.5,2.63,3.3,1.58,0,2,0,6,0,0,0,1,1,0,1,21,4,12
2,28.0,0,2.25,3.1,2.7,2.13,3.5,3.0,0,2,0,6,0,0,0,1,1,0,1,21,4,47
2,28.0,0,2.06,2.75,3.0,1.97,2.63,1.7,0,2,0,6,0,0,0,1,1,0,1,21,4,13
2,28.0,0,1.83,1.28,2.6,2.15,2.7,1.8,1,2,0,6,0,0,0,1,1,0,1,21,4,14
2,28.0,0,2.32,2.13,2.85,2.25,2.2,3.0,0,2,0,6,0,0,0,1,1,0,1,21,4,50
2,28.0,0,2.53,2.0,3.0,3.25,3.46,2.98,0,2,0,6,0,0,0,1,1,0,1,21,4,46
3,28.0,0,1.94,1.95,3.0,2.56,2.0,3.0,0,2,0,6,0,0,0,1,1,0,1,21,4,15
3,28.0,0,1.88,2.3,3.0,1.63,2.9,3.0,0,2,0,6,0,0,0,1,1,0,1,21,4,48
3,28.0,0,3.19,3.5,3.0,2.38,3.5,3.0,0,2,0,6,0,0,0,1,1,0,1,21,4,16
3,28.0,0,1.88,0.0,3.0,1.75,3.5,3.0,1,2,0,6,0,0,0,1,1,0,1,21,4,41
